"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"21751.txt";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0
"21752.txt";0;0;0;0;0;0;0;0;0;0;1;8;1;0;0;0;0;0;0;0
"21753.txt";0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;26;0;0;0;0
"21754.txt";0;0;1;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;54;0
"21755.txt";0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;0
"21756.txt";1;1;1;3;0;0;0;0;0;0;0;6;0;0;0;23;0;0;0;3
"21757.txt";0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0
"21758.txt";6;9;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;1;0
"21759.txt";0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;3;0;0;4;1
"21760.txt";0;0;4;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;7;3
"21761.txt";7;17;0;0;0;0;0;0;0;0;10;3;0;0;0;21;21;0;1;0
"21762.txt";0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;1;0;0;1;0
"21763.txt";1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;7;4;0;0;0
"21764.txt";0;0;2;1;0;0;0;0;0;0;0;14;0;0;0;0;4;0;0;0
"21765.txt";0;0;0;0;0;0;0;4;0;0;0;8;0;0;0;2;0;0;0;0
"21766.txt";1;0;0;1;0;0;0;0;0;0;0;13;0;0;0;0;1;0;0;0
"21767.txt";1;4;0;0;0;0;0;0;0;5;3;8;0;0;0;3;1;0;0;0
"21768.txt";0;0;9;4;0;0;0;0;0;0;1;4;0;0;0;1;0;0;0;0
"21769.txt";4;1;5;0;0;0;5;0;0;0;0;4;0;0;0;3;3;0;0;1
"21770.txt";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"21771.txt";0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;22;3;0;0;0
"21772.txt";0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;1;0;1;0
"21773.txt";0;0;77;3;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;20
"21774.txt";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21775.txt";1;0;3;1;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;9
"21776.txt";0;2;8;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
