"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"16767-73-13506-1-10-20210730.txt";0;1;0;6;0;0;0;0;0;0;0;12;0;0;0;1;1;0;0;6
"16768-73-13507-1-10-20210730.txt";0;0;1;13;0;0;0;0;0;0;0;17;0;0;0;1;0;0;6;17
"16769-73-13508-1-10-20210730.txt";0;0;2;2;0;0;1;0;0;0;0;3;0;0;0;3;1;0;1;9
"16770-73-13509-1-10-20210730.txt";0;0;10;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4
"16771-73-13510-1-10-20210730.txt";0;0;0;1;0;0;0;26;0;0;0;2;0;0;0;0;0;0;1;0
"16772-73-13511-1-10-20210730.txt";0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"16773-73-13512-1-10-20210730.txt";0;0;0;1;0;0;0;2;0;0;0;8;0;0;0;2;0;0;0;0
"16774-73-13513-1-10-20210730.txt";0;0;0;0;0;0;0;6;0;0;0;3;0;0;0;3;0;0;0;16
"16775-73-13514-1-10-20210730.txt";0;0;1;1;0;0;0;0;0;0;0;13;0;0;0;0;0;0;2;0
"16776-73-13515-1-10-20210730.txt";0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;16
"16777-73-13516-1-10-20210730.txt";0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
"16778-73-13517-1-10-20210730.txt";4;4;1;1;0;0;0;0;0;0;6;0;0;0;0;1;0;0;24;0
"16779-73-13518-1-10-20210730.txt";0;1;10;0;0;0;0;0;3;0;1;0;0;0;0;5;0;1;0;0
"16780-73-13519-1-10-20210730.txt";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;5;4;7;7;0
"16781-73-13520-1-10-20210730.txt";5;4;0;8;0;0;0;0;0;0;1;4;0;0;0;15;3;1;1;0
"16782-73-13521-1-10-20210730.txt";0;0;0;5;0;0;0;0;0;0;0;14;0;0;0;2;0;0;0;0
"16783-73-13522-1-10-20210730.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16784-73-13523-1-10-20210730.txt";0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;3;0;0;0;12
"16785-73-13524-1-10-20210730.txt";0;0;2;0;0;0;0;0;0;0;0;33;0;0;0;8;0;0;0;3
"16786-73-13525-1-10-20210730.txt";0;0;1;14;0;0;0;0;0;0;0;12;0;0;0;4;1;0;0;15
