"artigo";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"A Fast Similarity Search kNN for Textual Datasets.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Fast and Generic GPU-Based Parallel Reduction Implementation.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A GPU-FPGA-Based K-Means Clustering Using a Parameterized Code Generator.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Methodology for Optimization of Interpreters.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Parallel Approach of Simulated Annealing Using GPGPU to Solve the Quadratic Assignment Problem.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"An Interference-Aware Virtual Machine Placement Strategy for High Performance Computing Applications in Clouds.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Analysis of Optimization Opportunities for Intel Xeon Phi and Intel Xeon Scalable Processors Environments of a Numerical Method for the Biphasic Flow of Fluids in Porous Media.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Analysis of Potential Online Scheduling Improvements by Real-Time Strategy Selection.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Assessing the Computation and Communication Overhead of Linux Containers for HPC Applications.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
"Automatic Minimization of Execution Costs of SPITS Programs in AWS.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Computational Optimization of Model BRASIL-SR.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Evaluation of Timing Side-Channel Leakage on a Multiple-Target Dynamic Binary Translator.txt";8;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;8
"Experimentation and Analysis of Dynamic Checkpoint on Apache Hadoop with Failure Scenarios.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Impact of Memory Approximation on Energy Efficiency.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Introducing Drowsy Technique to Cache Line Usage Predictors.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Load Balancing for Iterative Applications in Heterogeneous Architectures.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MParCO A Minimalist Parallel Framework for Combinatorial Optimization Applications.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MapReduce with Components for Processing Big Graphs.txt";0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"On the Efficiency of Transactional Code Generation A GCC Case Study.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Optimizing Geophysics Models Using Thread and Data Mapping.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P-TWDTW Parallel Processing of Time Series Remote Sensing Images Using Manycore Architectures.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Parallel and Distributed Processing Support for a Geospatial Data Visualization DSL.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Performance Evaluation to Provide StaaS to IoT Devices in Fog Computing Environment.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Performance and Energy Consumption Aspects in Migrating Big Data Systems to the Cloud.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Performance and Energy Efficiency Evaluation for HPC Applications in Heterogeneous Architectures.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phase Detection and Analysis among Multiple Program Inputs.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Power Consumption of Parallel Programming Interfaces in Multicore Architectures A Case Study.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Reducing Global Schedulers Complexity through Runtime System Decoupling.txt";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;4
"SMCis Scientific Applications Monitoring Tool for HPC Environments.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Samsara Architecture Exploring Situation Awareness in Cloud Computing Management.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Simulators Usage Analysis to Estimate Power Consumption in Cloud Computing Environments.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Towards a High-Performance RISC-V Emulator.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Transactional Boosting on Glasgow Haskell Compiler.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"User-Level Transaction Scheduling in Haskell.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Video7 An Architecture for Storage and Recovery of Streaming Audio and Video in NoSQL Database.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
