"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"17661-73-14173-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0
"17662-73-14174-1-10-20211022.txt";0;0;2;6;0;0;0;0;0;0;0;5;0;0;0;3;0;0;0;3
"17663-73-14175-1-10-20211022.txt";0;2;0;6;0;0;0;0;0;0;2;18;0;0;0;0;0;0;0;10
"17664-73-14176-1-10-20211022.txt";0;0;0;5;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;5
"17665-73-14177-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0
"17666-73-14178-1-10-20211022.txt";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;3
"17667-73-14179-1-10-20211022.txt";0;0;2;2;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0
"17668-73-14180-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"17670-73-14182-1-10-20211022.txt";12;4;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;9;1
"17671-73-14183-1-10-20211022.txt";0;1;0;2;0;0;0;0;0;0;0;10;0;0;0;3;1;0;9;6
"17672-73-14184-1-10-20211022.txt";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"17673-73-14185-1-10-20211022.txt";0;0;0;2;0;0;0;0;0;0;0;9;0;0;0;6;5;0;0;0
"17674-73-14186-1-10-20211022.txt";0;0;2;23;0;0;0;0;0;0;0;10;0;0;0;4;0;0;0;0
"17675-73-14187-1-10-20211022.txt";0;0;3;2;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0
"17676-73-14188-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0
"17677-73-14189-1-10-20211022.txt";0;0;0;2;0;0;0;1;0;0;1;2;0;0;0;0;0;0;2;0
"17678-73-14190-1-10-20211022.txt";0;2;2;1;0;0;0;0;0;0;32;0;0;0;0;4;0;0;24;0
"17679-73-14191-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;0;1;0
"17680-73-14192-1-10-20211022.txt";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0
"17681-73-14193-1-10-20211022.txt";2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0
"17682-73-14194-1-10-20211022.txt";0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;3;0;0;1;0
"17683-73-14195-1-10-20211022.txt";0;0;0;2;0;0;0;0;0;0;0;31;0;0;0;5;0;0;0;0
"17684-73-14196-1-10-20211022.txt";0;0;4;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"17685-73-14197-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0
"17686-73-14198-1-10-20211022.txt";0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;4;0;0;0;0
"17687-73-14199-1-10-20211022.txt";0;0;3;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
"17688-73-14200-1-10-20211022.txt";0;0;19;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0
