"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG"
"19116-73-15269-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19117-73-15270-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0
"19118-73-15271-1-10-20220315.txt";1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"19119-73-15272-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0
"19120-73-15273-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
"19121-73-15274-1-10-20220315.txt";2;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
"19122-73-15275-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19123-73-15276-1-10-20220315.txt";8;0;0;0;0;7;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0
"19124-73-15277-1-10-20220315.txt";0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"19125-73-15278-1-10-20220315.txt";0;0;0;0;0;5;0;0;0;0;0;0;0;0;3;0;11;0;0;0;0;0
"19126-73-15279-1-10-20220315.txt";0;0;0;0;0;8;0;0;0;0;0;0;0;0;5;0;14;0;0;0;0;0
"19127-73-15280-1-10-20220315.txt";1;0;0;0;0;19;0;0;0;0;0;0;0;0;6;0;12;0;0;0;0;0
"19128-73-15281-1-10-20220315.txt";2;0;0;0;0;1;1;0;1;0;0;0;0;0;11;0;7;0;0;0;0;0
"19129-73-15282-1-10-20220315.txt";8;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;13;5;3;0;0;0
"19130-73-15283-1-10-20220315.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;0
"19131-73-15284-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;7;0;0;0
"19132-73-15285-1-10-20220315.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;13;0;11;0;2;0;0;0
"19133-73-15286-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
