"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"20681-73-16654-1-10-20220717.txt";0;0;0;2;0;0;0;3;0;0;0;5;0;0;0;7;0;0;0;0
"20682-73-16655-1-10-20220717.txt";1;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"20683-73-16656-1-10-20220717.txt";5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"20684-73-16657-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;5;0;0;0;0
"20685-73-16658-1-10-20220717.txt";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0
"20686-73-16659-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"20687-73-16660-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
"20688-73-16661-1-10-20220717.txt";0;0;0;1;0;0;0;0;0;0;2;12;1;0;1;6;2;0;2;0
"20689-73-16662-1-10-20220717.txt";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0
