"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG"
"18507-73-14898-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;2;0;0;0;0
"18508-73-14899-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"18509-73-14900-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;2;0;0;0;0
"18510-73-14901-1-10-20211220.txt";0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;13;0;0;0;0;0
"18511-73-14902-1-10-20211220.txt";0;0;0;0;0;5;1;0;1;0;0;0;0;0;0;0;33;2;0;0;0;0
"18512-73-14903-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;21;0;2;0;0;1
"18513-73-14904-1-10-20211220.txt";0;0;0;0;0;5;0;0;0;0;2;0;0;0;1;0;23;1;0;0;0;12
"18514-73-14905-1-10-20211220.txt";2;0;3;0;0;10;0;0;0;0;1;0;0;0;0;0;6;3;8;0;0;1
"18515-73-14906-1-10-20211220.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
"18516-73-14907-1-10-20211220.txt";0;0;0;0;0;5;1;0;0;0;0;0;0;0;8;0;65;0;36;0;0;0
"18517-73-14908-1-10-20211220.txt";0;0;0;0;2;3;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0
"18518-73-14909-1-10-20211220.txt";0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;13;2;1;0;0;0
"18519-73-14910-1-10-20211220.txt";1;0;0;0;0;15;0;0;0;0;0;0;0;0;2;0;19;26;0;0;0;0
"18520-73-14911-1-10-20211220.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;24;0;0;0;0;0
"18521-73-14912-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
"18522-73-14913-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;1;0;0;0;0
"18523-73-14914-1-10-20211220.txt";0;0;0;0;0;23;2;0;6;0;0;0;0;0;2;0;22;0;0;0;0;0
"18524-73-14915-1-10-20211220.txt";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
"18525-73-14916-1-10-20211220.txt";0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0
"18526-73-14917-1-10-20211220.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;0;0;0
"18527-73-14918-1-10-20211220.txt";2;0;0;0;0;5;9;0;0;0;0;0;0;0;3;0;9;1;0;0;0;0
