"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"19116-73-15269-1-10-20220315.txt";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0
"19117-73-15270-1-10-20220315.txt";0;1;1;3;0;0;0;0;0;0;0;18;0;0;0;6;1;0;0;4
"19118-73-15271-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
"19119-73-15272-1-10-20220315.txt";5;12;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
"19120-73-15273-1-10-20220315.txt";1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;8;0;0;1;0
"19121-73-15274-1-10-20220315.txt";4;22;0;0;0;0;0;0;0;0;2;6;0;0;0;11;0;0;0;0
"19122-73-15275-1-10-20220315.txt";0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"19123-73-15276-1-10-20220315.txt";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"19124-73-15277-1-10-20220315.txt";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0
"19125-73-15278-1-10-20220315.txt";1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"19126-73-15279-1-10-20220315.txt";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
"19127-73-15280-1-10-20220315.txt";0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;7;0
"19128-73-15281-1-10-20220315.txt";5;12;0;0;0;0;0;0;0;0;0;10;0;0;0;2;0;0;8;0
"19129-73-15282-1-10-20220315.txt";0;1;0;2;0;0;0;0;0;0;2;14;2;0;1;4;3;0;5;0
"19130-73-15283-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0
"19131-73-15284-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;1
"19132-73-15285-1-10-20220315.txt";0;1;0;1;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;10
"19133-73-15286-1-10-20220315.txt";0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;3;2;0;0;0
