"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG"
"20681-73-16654-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0
"20682-73-16655-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"20683-73-16656-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0
"20684-73-16657-1-10-20220717.txt";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"20685-73-16658-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0
"20686-73-16659-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"20687-73-16660-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"20688-73-16661-1-10-20220717.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
"20689-73-16662-1-10-20220717.txt";0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0
