"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG"
"14995-73-11833-1-10-20210504.txt";0;1;0;0;0;29;0;0;6;0;0;0;4;0;0;0;2;1;0;0;0;0
"14996-73-11834-1-10-20210504.txt";3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"14997-73-11835-1-10-20210504.txt";0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;11;0;0;0;0;0
"14998-73-11836-1-10-20210504.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
"14999-73-11837-1-10-20210504.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;0
"15000-73-11838-1-10-20210504.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"15001-73-11839-1-10-20210504.txt";4;0;0;0;0;12;0;0;1;0;0;0;0;0;1;0;7;18;1;0;0;0
"15002-73-11840-1-10-20210504.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
"15003-73-11841-1-10-20210504.txt";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0
"15004-73-11842-1-10-20210504.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0
"15005-73-11843-1-10-20210504.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
"15006-73-11844-1-10-20210504.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"15007-73-11845-1-10-20210504.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15008-73-11846-1-10-20210504.txt";0;0;0;0;0;3;0;0;0;0;2;0;0;0;1;0;6;1;0;0;0;0
"15009-73-11847-1-10-20210504.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0
"15010-73-11848-1-10-20210504.txt";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0
"15011-73-11849-1-10-20210504.txt";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0
"15012-73-11850-1-10-20210504.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;10;3;0;0;0;0
