"artigo";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"14267-73-11164-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"14268-73-11165-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14269-73-11166-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14270-73-11167-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"14271-73-11168-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"14272-73-11169-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14273-73-11170-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14274-73-11171-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14275-73-11172-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14276-73-11173-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14277-73-11174-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14278-73-11175-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"14279-73-11176-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14280-73-11177-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14281-73-11178-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14282-73-11179-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14283-73-11180-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14284-73-11181-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14285-73-11182-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14286-73-11183-1-10-20210317.txt";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14287-73-11184-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"14288-73-11185-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
