"artigo";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"A Model of Autonomous Control of the Adaptation to the Context in UbiComp.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Model to Explore Business Opportunities in Ubiquitous Environments.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Proposal of Parallelization of Local Search Procedures Applied to the Minimum Cost Hop-and-Root Constrained Forest Problem.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Quantum Circuit for the Brazilian Decimetric Array -BDA- Signal Correlation.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Advanced SS A Superscalar Simulator with Support for Operating System.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"An Architecture with Support Semantic for Discovery Resources in Ubiquitous Computing.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D-Power A VHDL Dynamic Power Estimation Tool for Superscalar Architectures - Cache Hierarchy and Fetch Stage.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Distributed Quantum Simulation on the VPE-qGM Environment.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hardware Accelerator for Dictionary-Based Compression of MMP Algorithm.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Implementation of Techniques for Fault Tolerance in a Network-on-Chip.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Improving Ray Tracing Anti-aliasing Performance through Image Gradient Analysis.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"NSGAII Applied to Unified Second Level Cache Memory Hierarchy Tuning Aiming Energy and Performance Optimization.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Optimizing a Retargetable Compiled Simulator to Achieve Near-Native Performance.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Parallel Routing Algorithm for Extra Level Omega Networks on Reconfigurable Systems.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Process Mapping Based on Memory Access Traces.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Scheduling Strategies Evaluation for Opportunistic Grids.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ShareD-GM Distributed Memory Architecture for the D-GM Environment.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Simulation of the Foreground-Background Queue in Parallel Systems.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Ubiservices A Connectivity Model to Ubiquitous Environments.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
