"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG";"ano";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"19126-73-15279-1-10-20220315.txt";0;0;0;0;0;8;0;0;0;0;0;0;0;0;5;0;14;0;0;0;0;0;2001;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19127-73-15280-1-10-20220315.txt";1;0;0;0;0;19;0;0;0;0;0;0;0;0;6;0;12;0;0;0;0;0;2001;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19128-73-15281-1-10-20220315.txt";2;0;0;0;0;1;1;0;1;0;0;0;0;0;11;0;7;0;0;0;0;0;2001;5;12;0;0;0;0;0;0;0;0;0;10;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19129-73-15282-1-10-20220315.txt";8;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;13;5;3;0;0;0;2001;0;1;0;2;0;0;0;0;0;0;2;14;2;0;1;4;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19130-73-15283-1-10-20220315.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;0;2001;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19131-73-15284-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;7;0;0;0;2001;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19132-73-15285-1-10-20220315.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;13;0;11;0;2;0;0;0;2001;0;1;0;1;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19133-73-15286-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2001;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20754-73-16728-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20755-73-16729-1-10-20220720.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;4;3;0;0;0;0;2002;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20756-73-16730-1-10-20220720.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2002;0;1;1;14;0;0;0;0;0;0;0;9;0;0;0;11;3;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20757-73-16731-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20758-73-16732-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2002;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20759-73-16733-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;21;0;0;0;0;0;2002;0;0;0;0;0;0;0;3;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20760-73-16734-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20761-73-16735-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2002;1;1;0;4;0;0;0;0;0;0;0;3;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20762-73-16736-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20763-73-16737-1-10-20220720.txt";0;0;0;0;14;2;0;0;1;0;0;0;1;0;0;0;12;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20764-73-16738-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2002;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20765-73-16739-1-10-20220720.txt";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;16;0;0;0;2002;0;1;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20766-73-16740-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;10;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20767-73-16741-1-10-20220720.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2002;0;0;1;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20768-73-16742-1-10-20220720.txt";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;24;0;1;0;0;0;2002;0;1;0;3;0;0;0;0;0;0;0;22;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20769-73-16743-1-10-20220720.txt";0;0;0;0;0;14;0;0;0;0;0;0;0;0;5;0;11;0;0;0;0;0;2002;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20770-73-16744-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20771-73-16745-1-10-20220720.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;23;3;0;0;0;0;2002;1;1;1;0;0;0;0;0;0;0;0;13;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20772-73-16746-1-10-20220720.txt";0;0;0;0;0;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2002;0;0;0;1;0;0;1;0;0;0;0;6;0;0;0;17;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20773-73-16747-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19096-73-15248-1-10-20220312.txt";0;0;0;0;0;3;1;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;2003;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19097-73-15249-1-10-20220312.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;2003;0;4;0;1;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19098-73-15250-1-10-20220312.txt";0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;2003;10;6;2;3;0;0;0;0;0;0;2;3;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19099-73-15251-1-10-20220312.txt";0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2003;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19100-73-15252-1-10-20220312.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2003;4;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19101-73-15253-1-10-20220312.txt";0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2003;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;7;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19102-73-15254-1-10-20220312.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2003;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19103-73-15255-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;4;0;0;0;0;0;2003;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19104-73-15256-1-10-20220312.txt";0;0;0;0;0;7;0;0;0;0;0;0;0;0;9;0;10;0;0;0;0;0;2003;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19105-73-15257-1-10-20220312.txt";0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;2003;9;0;0;6;0;0;8;0;0;0;2;3;0;0;0;5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19106-73-15258-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;2003;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19107-73-15259-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;7;0;0;0;2003;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19108-73-15260-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2003;0;0;0;2;0;0;1;0;0;0;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19109-73-15261-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;18;0;1;0;0;0;2003;0;1;0;1;0;0;0;0;0;0;0;14;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19110-73-15262-1-10-20220312.txt";1;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;1;3;0;0;0;0;2003;0;0;1;4;0;0;0;0;0;0;0;6;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19111-73-15263-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19112-73-15264-1-10-20220312.txt";0;0;0;0;0;3;0;0;2;0;0;0;0;0;5;0;3;0;0;0;0;0;2003;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19113-73-15265-1-10-20220312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;0;0;0;2003;2;0;0;7;0;0;0;0;0;0;0;10;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19114-73-15266-1-10-20220312.txt";0;0;0;0;0;13;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2003;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18994-73-15222-1-10-20220303.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18995-73-15223-1-10-20220303.txt";0;0;0;0;8;2;0;0;0;0;0;0;0;0;10;0;2;0;0;0;0;0;2004;0;0;0;1;0;0;0;0;0;0;0;14;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18996-73-15224-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;1;0;0;0;0;2004;0;0;1;0;0;0;2;0;0;0;0;7;0;0;0;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18997-73-15225-1-10-20220303.txt";2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;13;9;1;0;0;0;2004;0;0;0;1;0;0;0;0;0;0;0;7;1;0;2;25;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18998-73-15226-1-10-20220303.txt";0;0;8;0;0;1;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18999-73-15227-1-10-20220303.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2004;1;0;0;1;0;0;0;0;0;0;0;8;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19000-73-15228-1-10-20220303.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19001-73-15229-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2004;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19002-73-15230-1-10-20220303.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;10;0;24;0;0;0;0;0;2004;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;6;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19003-73-15231-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19004-73-15232-1-10-20220303.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;13;0;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19005-73-15233-1-10-20220303.txt";19;0;1;0;0;13;0;0;0;0;0;0;0;0;10;0;5;0;0;0;0;0;2004;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19006-73-15234-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2004;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19007-73-15235-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2004;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19008-73-15236-1-10-20220303.txt";0;0;0;0;0;14;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;2004;0;0;2;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19009-73-15237-1-10-20220303.txt";0;0;0;0;0;1;0;0;1;1;0;0;0;0;2;0;7;0;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19010-73-15238-1-10-20220303.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19011-73-15239-1-10-20220303.txt";2;0;0;0;0;2;0;0;0;0;0;0;0;0;12;0;2;1;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;25;13;0;0;0;6;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19012-73-15240-1-10-20220303.txt";3;0;0;0;0;12;0;0;0;0;0;0;0;0;9;0;3;9;0;0;0;0;2004;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19013-73-15241-1-10-20220303.txt";0;0;0;0;0;3;0;0;1;1;0;1;0;0;2;0;10;0;0;0;0;0;2004;0;1;0;1;0;0;0;0;0;0;1;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19014-73-15242-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19015-73-15243-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19016-73-15244-1-10-20220303.txt";0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;2;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19017-73-15245-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;3;0;0;3;0;0;0;0;0;0;2;2;0;0;0;6;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
