"artigo";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"17261-73-13852-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17262-73-13853-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17263-73-13854-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17264-73-13855-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17265-73-13856-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"17266-73-13857-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17267-73-13858-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17268-73-13859-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17269-73-13860-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17270-73-13861-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17271-73-13862-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17272-73-13863-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17273-73-13864-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17274-73-13865-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17275-73-13866-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
